title	summary	Scale	Context (tokens)	License	Date	Decoder type	Attention	Layer mix	KV cache / token (bf16) info	Key detail	View in article	config.json	Tech report	AA Intelligence Index info	From scratch	Vocabulary	params.json
Mistral Small 3.1 (24B)	Fast dense 24B model that drops the sliding-window setup used in older Mistral releases.	24B parameters	128,000	Apache License 2.0	2025-03-18	Dense	Standard GQA	40 GQA	160 KiB · Moderate	Latency-focused design with a smaller KV cache and fewer layers than Gemma 3 27B.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A74-mistral-small-31	https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Base-2503/blob/main/config.json	https://mistral.ai/news/mistral-small-3-1	Total score  14.5      General  21.9    Scientific  13.8    Coding  13.9    Agents  8.4			
Llama 4 Maverick (400B)	Meta's large MoE follows the DeepSeek V3 playbook but with a more conventional attention stack.	400B total, 17B active (4.3% active)	1,000,000	Llama 4 Community License Agreement	2025-04-05	Sparse MoE	GQA	36 chunked + 12 full GQA	192 KiB · High	Alternates dense and MoE blocks and uses fewer, larger experts than DeepSeek V3.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A75-llama-4	https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct/blob/main/config.json	https://ai.meta.com/blog/llama-4-multimodal-intelligence/	Total score  18.0			
Qwen3 (0.6B)	Tiny current-generation Qwen model that trades width for more depth and a low memory footprint.	0.6B parameters	32,768	https://huggingface.co/Qwen/Qwen3-0.6B-Base/blob/main/LICENSE	2025-04-28	Dense	GQA	28 GQA	112 KiB · Moderate	Deeper than Llama 3.2 1B and unusually practical for local experiments and teaching.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A761-qwen3-dense	https://huggingface.co/Qwen/Qwen3-0.6B-Base/blob/main/config.json		Total score  5.7      General  8.1    Scientific  8.4    Coding  1.4    Agents  4.9			
Qwen3 (235B-A22B)	Large sparse Qwen variant that stays very close to DeepSeek V3 while removing the shared expert.	235B total, 22B active (9.4% active)	128,000	https://huggingface.co/Qwen/Qwen3-235B-A22B/blob/main/LICENSE	2025-04-28	Sparse MoE	GQA with QK-Norm	94 GQA	188 KiB · High	High-capacity MoE design optimized for serving efficiency without a shared expert.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A762-qwen3-moe	https://huggingface.co/Qwen/Qwen3-235B-A22B/blob/main/config.json	https://arxiv.org/pdf/2505.09388	Total score  17.0      General  16.9    Scientific  17.7    Coding  14.0    Agents  19.2	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/11_qwen3		
Qwen3 (30B-A3B)	Small sparse Qwen3 model that sits close to GPT-OSS in active size but uses a deeper stack.	30B total, 3B active (10% active)	128,000	https://huggingface.co/Qwen/Qwen3-30B-A3B/blob/main/LICENSE	2025-04-28	Sparse MoE	GQA	48 GQA	96 KiB · Moderate	Deeper, narrower MoE alternative to GPT-OSS without a shared expert.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A79-gpt-oss	https://huggingface.co/Qwen/Qwen3-30B-A3B/blob/main/config.json		Total score  12.5      General  14.2    Scientific  15.2    Coding  13.3    Agents  7.4			
Qwen3 (32B)	Large dense Qwen3 model that serves as the clearest like-for-like comparison for OLMo 3 32B.	32B parameters	128,000	https://huggingface.co/Qwen/Qwen3-32B/blob/main/LICENSE	2025-04-28	Dense	GQA with QK-Norm	64 GQA	256 KiB · High	Reference dense Qwen stack with QK-Norm and 8 KV heads.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A715-olmo-3-thinking	https://huggingface.co/Qwen/Qwen3-32B/blob/main/config.json	https://arxiv.org/pdf/2505.09388	Total score  14.5	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/11_qwen3		
Qwen3 (4B)	Mid-size dense Qwen3 model used here as a clean baseline against SmolLM3 and Tiny Aya.	4B parameters	32,768	https://huggingface.co/Qwen/Qwen3-4B/blob/main/LICENSE	2025-04-28	Dense	GQA with QK-Norm	36 GQA	144 KiB · Moderate	Compact Qwen3 dense stack with QK-Norm and a 151k vocabulary.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A77-smollm3	https://huggingface.co/Qwen/Qwen3-4B/blob/main/config.json	https://arxiv.org/pdf/2505.09388	Total score  12.5	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/11_qwen3		
Qwen3 (8B)	Dense Qwen3 baseline used here to show how little OLMo 3 changed the overall decoder recipe.	8B parameters	128,000	https://huggingface.co/Qwen/Qwen3-8B/blob/main/LICENSE	2025-04-28	Dense	GQA with QK-Norm	36 GQA	144 KiB · Moderate	Reference Qwen3 dense stack with QK-Norm and 8 KV heads.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A715-olmo-3-thinking	https://huggingface.co/Qwen/Qwen3-8B/blob/main/config.json	https://arxiv.org/pdf/2505.09388	Total score  10.6      General  11.2    Scientific  12.7    Coding  7.1    Agents  11.6	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/11_qwen3		
SmolLM3 (3B)	Compact dense model that experiments with leaving out positional encodings in selected layers.	3B parameters	131,072	Apache License 2.0	2025-06-19	Dense	GQA with periodic NoPE layers	36 GQA	72 KiB · Low	Every fourth layer omits RoPE to test a NoPE-style cadence.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A77-smollm3	https://huggingface.co/HuggingFaceTB/SmolLM3-3B-Base/blob/main/config.json	https://huggingface.co/blog/smollm3				
Kimi K2 (1T)	Trillion-parameter Moonshot model that essentially scales the DeepSeek V3 recipe upward.	1T total, 32B active (3.2% active)	128,000	https://huggingface.co/moonshotai/Kimi-K2-Base/blame/main/LICENSE	2025-07-10	Sparse MoE	MLA	61 MLA	68.6 KiB · Low	More experts and fewer MLA heads than DeepSeek V3.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A78-kimi-k2-and-kimi-k2-thinking	https://huggingface.co/moonshotai/Kimi-K2-Base/blob/main/config.json	https://arxiv.org/pdf/2507.20534	Total score  26.3      General  36.3    Scientific  22.6    Coding  22.1    Agents  24.3			
GLM-4.5 (355B)	Agent-oriented instruction/reasoning hybrid that borrows DeepSeek's dense-prefix MoE layout.	355B total, 32B active (9% active)	128,000	MIT License	2025-07-28	Sparse MoE	GQA with QK-Norm	92 GQA	368 KiB · Very high	Starts with three dense layers before MoE routing, keeps a shared expert, and uses MTP during training.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A711-glm-45	https://huggingface.co/zai-org/GLM-4.5/blob/main/config.json	https://arxiv.org/pdf/2508.06471	Total score  26.4      General  37.5    Scientific  25.6    Coding  26.3    Agents  16.2			
GLM-4.5-Air (106B)	Compact GLM-4.5 companion that keeps the same agent-oriented sparse MoE recipe at a smaller serving footprint.	106B total, 12B active (11.3% active)	128,000	MIT License	2025-07-28	Sparse MoE	GQA	46 GQA	184 KiB · High	Shrinks the GLM-4.5 layout to 46 layers, keeps the dense warmup, and inherits the MTP training recipe.		https://huggingface.co/zai-org/GLM-4.5-Air/blob/main/config.json	https://arxiv.org/pdf/2508.06471	Total score  23.2      General  26.1    Scientific  21.7    Coding  23.8    Agents  21.0			
Qwen3 Coder Flash (30B-A3B)	Coding-tuned Qwen model that keeps a straightforward grouped-query MoE stack instead of the newer hybrid-attention variants.	30B total, 3.3B active (11% active)	256,000	https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct/blob/main/LICENSE	2025-07-31	Sparse MoE	GQA	48 GQA	96 KiB · Moderate	Uses 128 experts with 8 active per token and a native 256k context window for coding workloads.	https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight#%C2%A74-qwen3-coder-next-an-attention-hybrid-for-coding	https://huggingface.co/Qwen/Qwen3-Coder-30B-A3B-Instruct/blob/main/config.json		Total score  20.0      General  24.6    Scientific  14.9    Coding  19.4    Agents  21.1	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/11_qwen3		
GPT-OSS (120B)	Larger gpt-oss variant keeps the same alternating-attention recipe as the 20B model.	117B total, 5.1B active (4.4% active)	128,000	https://huggingface.co/openai/gpt-oss-120b/blob/main/LICENSE	2025-08-04	Sparse MoE	GQA with alternating sliding-window and global layers	18 sliding-window + 18 global	72 KiB · Low	Shared architectural template scaled up for OpenAI's flagship open-weight release.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A79-gpt-oss	https://huggingface.co/openai/gpt-oss-120b/blob/main/config.json	https://cdn.openai.com/pdf/419b6906-9da6-406c-a19d-1bb078ac7637/oai_gpt-oss_model_card.pdf	Total score  33.3      General  37.5    Scientific  29.1    Coding  28.6    Agents  37.9			
GPT-OSS (20B)	OpenAI's smaller open-weight MoE model favors width and alternating local/global attention.	21B total, 3.6B active (17.1% active)	128,000	https://huggingface.co/openai/gpt-oss-20b/blob/main/LICENSE	2025-08-04	Sparse MoE	GQA with alternating sliding-window and global layers	12 sliding-window + 12 global	48 KiB · Low	Wider and shallower than Qwen3, with attention bias and sink mechanisms.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A79-gpt-oss	https://huggingface.co/openai/gpt-oss-20b/blob/main/config.json	https://cdn.openai.com/pdf/419b6906-9da6-406c-a19d-1bb078ac7637/oai_gpt-oss_model_card.pdf	Total score  24.5      General  29.3    Scientific  22.5    Coding  18.5    Agents  27.6			
Gemma 3 (270M)	Tiny Gemma 3 variant that preserves the family's local-global attention recipe at a toy scale.	270M parameters	128,000	https://ai.google.dev/gemma/prohibited_use_policy	2025-08-14	Dense	Multi-query attention with QK-Norm and 5:1 sliding-window/global attention	15 sliding-window + 3 global	18 KiB · Very low	Keeps the Gemma 3 stack shape while shrinking down to 4 attention heads, a single KV head, and the same 262k vocabulary.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A74-mistral-small-31	https://huggingface.co/google/gemma-3-270m/blob/main/config.json	https://arxiv.org/pdf/2503.19786	Total score  7.7      General  20.1    Scientific  7.7    Coding  0.0    Agents  3.0	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/12_gemma3	262,144 (~262k)	
Grok 2.5 (270B)	Rare production-model release that shows an older MoE style with fewer, larger experts.	270B parameters	131,072	Grok 2 Community License Agreement	2025-08-22	Sparse MoE	GQA	64 GQA	256 KiB · High	Adds an always-on SwiGLU path that effectively behaves like a shared expert.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A710-grok-25	https://huggingface.co/xai-org/grok-2/blob/main/config.json					
Qwen3 Next (80B-A3B)	Efficiency-focused Qwen refresh that swaps standard attention for a DeltaNet-attention hybrid.	80B total, 3B active (3.8% active)	262,144	https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct/blob/main/LICENSE	2025-09-09	Sparse hybrid	3:1 Gated DeltaNet and Gated Attention	12 gated attention + 36 DeltaNet	24 KiB · Very low	Adds many more experts, a shared expert, native 262k context, and MTP for speculative decoding.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A7121-expert-size-and-number	https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct/blob/main/config.json		Total score  20.1      General  28.9    Scientific  22.1    Coding  15.3    Agents  14.2			
MiniMax M2 (230B)	MiniMax's flagship returns to full attention and looks like a leaner, sparser cousin of Qwen3.	230B total, 10B active (4.3% active)	196,608	Modified MIT License	2025-10-23	Sparse MoE	GQA with QK-Norm and partial RoPE	62 GQA	248 KiB · High	Uses per-layer QK-Norm, much sparser MoE routing than Qwen3, and MTP during training.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A7131-per-layer-qk-norm	https://huggingface.co/MiniMaxAI/MiniMax-M2/blob/main/config.json	https://arxiv.org/abs/2605.26494	Total score  36.0			
Kimi Linear (48B-A3B)	Linear-attention hybrid that keeps a transformer backbone but replaces most full-attention layers.	48B total, 3B active (6.3% active)	1,000,000	MIT License	2025-10-30	Sparse hybrid	3:1 Kimi Delta Attention and MLA	7 MLA + 20 Kimi Delta Attention	7.9 KiB · Very low	Uses NoPE in MLA layers and channel-wise gating for long-context efficiency.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A7144-kimi-linear-vs-qwen3-next	https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Base/blob/main/config.json	https://arxiv.org/pdf/2510.26692	Total score  14.4      General  N/A    Scientific  N/A    Coding  14.2    Agents  N/A			
OLMo 3 (32B)	Scaled-up OLMo 3 keeps the same block design but moves to grouped-query attention.	32B parameters	65,536	Apache License 2.0	2025-11-20	Dense	GQA with QK-Norm and 3:1 sliding-window/global attention	48 sliding-window + 16 global	256 KiB · High	Keeps post-norm while scaling width and applying YaRN only on global layers.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A715-olmo-3-thinking	https://huggingface.co/allenai/Olmo-3-32B-Think/blob/main/config.json	https://arxiv.org/pdf/2512.13961	Total score  12.0	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/13_olmo3		
OLMo 3 (7B)	New transparent Allen AI model that keeps OLMo's post-norm flavor while modernizing context handling.	7B parameters	65,536	Apache License 2.0	2025-11-20	Dense	MHA with QK-Norm and 3:1 sliding-window/global attention	24 sliding-window + 8 global	512 KiB · Very high	Retains post-norm, keeps MHA, and applies YaRN only on global layers.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A715-olmo-3-thinking	https://huggingface.co/allenai/Olmo-3-1025-7B/blob/main/config.json	https://arxiv.org/pdf/2512.13961	Total score  8.2      General  12.1    Scientific  12.9    Coding  3.4    Agents  4.2	https://github.com/rasbt/LLMs-from-scratch/tree/main/ch05/13_olmo3		
INTELLECT-3 (106B)	Large-scale RL post-training of GLM-4.5-Air that keeps the compact 106B sparse MoE backbone intact.	106B total, 12B active (11.3% active)	128,000	MIT License	2025-11-26	Sparse MoE	GQA	46 GQA	184 KiB · High	Keeps the GLM-4.5-Air architecture unchanged and shifts the capability profile through SFT plus large-scale RL.		https://huggingface.co/PrimeIntellect/INTELLECT-3/blob/main/config.json	https://storage.googleapis.com/intellect-3-paper/INTELLECT_3_Technical_Report.pdf	Total score  22.2      General  24.6    Scientific  25.1    Coding  19.1    Agents  19.8			
DeepSeek V3.2 (671B)	DeepSeek's successor keeps the V3 template but adds sparse attention to cut long-context costs.	671B total, 37B active (5.5% active)	128,000	https://huggingface.co/deepseek-ai/DeepSeek-V3.2/blob/main/LICENSE	2025-12-01	Sparse MoE	MLA with DeepSeek Sparse Attention	61 MLA	68.6 KiB · Low	Adds sparse attention while retaining the DeepSeek V3-style MTP path.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A716-deepseek-v32	https://huggingface.co/deepseek-ai/DeepSeek-V3.2/blob/main/config.json	https://arxiv.org/pdf/2512.02556	Total score  32.1      General  29.7    Scientific  24.2    Coding  34.6    Agents  39.8			
Mistral Large 3 (673B)	Mistral's new flagship effectively adopts the DeepSeek architecture and retunes the expert sizes.	673B total, 41B active (6.1% active)	262,144	Apache License 2.0	2025-12-02	Sparse MoE	MLA	61 MLA	68.6 KiB · Low	Near-clone of DeepSeek V3 with larger experts, fewer routed experts, and multimodal support.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A717-mistral-3-large			Total score  22.8      General  27.8    Scientific  19.1    Coding  22.7    Agents  21.7			https://huggingface.co/mistralai/Mistral-Large-3-675B-Instruct-2512/blob/main/params.json
Nemotron 3 Nano (30B-A3B)	NVIDIA's Nano model is the most extreme transformer-state-space hybrid in the gallery.	30B total, 3B active (10% active)	1,000,000	https://www.nvidia.com/en-us/agreements/enterprise-software/nvidia-nemotron-open-model-license/	2025-12-04	Hybrid MoE	Mostly Mamba-2 with a few GQA layers	6 GQA + 23 Mamba-2 + 23 MoE	6 KiB · Very low	Interleaves Mamba-2 and MoE blocks, using attention only sparingly.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A7181-nemotron-3-nano	https://huggingface.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16/blob/main/config.json	https://research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-Nano-Technical-Report.pdf	Total score  13.2      General  16.2    Scientific  12.3    Coding  15.8    Agents  8.5			
Xiaomi MiMo-V2-Flash (309B)	Large MoE model that pushes sliding-window attention harder than most contemporaries.	309B total, 15B active (4.9% active)	262,144	MIT License	2025-12-16	Sparse MoE	5:1 sliding-window/global attention	40 sliding-window + 8 global	144 KiB · Moderate	Uses an unusually small 128-token local window plus multi-token prediction.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A719-xiaomi-mimo-v2-flash	https://huggingface.co/XiaomiMiMo/MiMo-V2-Flash/blob/main/config.json	https://arxiv.org/pdf/2601.02780	Total score  30.4      General  27.8    Scientific  20.4    Coding  25.8    Agents  47.3			
GLM-4.7 (355B)	Immediate GLM predecessor that stays closer to the older GLM-4.5 style before the MLA shift.	355B total, 32B active (9% active)	202,752	MIT License	2025-12-22	Sparse MoE	GQA with QK-Norm	92 GQA	368 KiB · Very high	Serves as the pre-MLA, pre-sparse-attention baseline and uses an MTP-3-style setup.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A721-glm-5	https://huggingface.co/zai-org/GLM-4.7/blob/main/config.json	https://arxiv.org/pdf/2508.06471	Total score  34.2      General  30.6    Scientific  19.7    Coding  32.0    Agents  54.3			
Arcee AI Trinity Large (400B)	Arcee's flagship blends several efficiency tricks into a DeepSeek-like coarse MoE design; the AA score shown here refers to the Trinity Large Thinking checkpoint.	400B total, 13B active (3.3% active)	512,000	Apache License 2.0	2026-01-27	Sparse MoE	GQA with gated attention and 3:1 sliding-window/global attention	45 sliding-window + 15 global	240 KiB · High	Combines QK-Norm, RoPE+NoPE, sandwich norm, and a coarse-grained MoE.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A720-arcee-ai-trinity-large	https://huggingface.co/arcee-ai/Trinity-Large-Base/blob/main/config.json	https://arxiv.org/pdf/2602.17004	Total score  31.9      General  31.4    Scientific  26.4    Coding  27.2    Agents  42.6			
Kimi K2.5 (1T)	Native-multimodal Moonshot flagship that keeps the K2/DeepSeek-style MoE layout and pushes native context to 256k.	1T total, 32B active (3.2% active)	256,000	https://huggingface.co/moonshotai/Kimi-K2.5/blob/main/LICENSE	2026-01-27	Sparse MoE	MLA	61 MLA	68.6 KiB · Low	Keeps the 384-expert K2 backbone, but adds multimodal capabilities (not shown) and doubles the native context length.	https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight#%C2%A72-moonshot-ais-kimi-k25-a-deepseek-like-model-at-a-1-trillion-parameter-scale	https://huggingface.co/moonshotai/Kimi-K2.5/blob/main/config.json	https://arxiv.org/pdf/2602.02276	Total score  37.3      General  44.4    Scientific  26.0    Coding  25.8    Agents  52.8			
LongCat-Flash-Lite (68.5B-A3B)	Meituan's LongCat-Next text backbone is a lightweight MoE that shifts a large share of parameters into N-gram embeddings while keeping sparse inference around 3B active parameters.	68.5B total, ~3B active avg (4.4% active)	256,000	MIT License	2026-01-28	Sparse MoE	MLA with RoPE + NoPE	28 logical layers / 56 MLA sublayers	63 KiB · Low	Uses N-gram embedding expansion, Shortcut MoE routing over 512 routed plus 256 zero/identity experts, and top-k 12 expert choices per token.		https://huggingface.co/meituan-longcat/LongCat-Flash-Lite/blob/main/config.json	https://arxiv.org/abs/2601.21204	Total score  23.9      General  21.5    Scientific  18.9    Coding  16.5    Agents  38.8		131,072	
Step 3.5 Flash (196B)	Throughput-oriented MoE model that stays competitive with much larger DeepSeek-style systems.	196B total, 11B active (5.6% active)	262,144	Apache License 2.0	2026-02-01	Sparse MoE	GQA with 3:1 sliding-window attention	36 sliding-window + 12 global	192 KiB · High	Uses MTP-3 during both training and inference for unusually high throughput.	https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight#%C2%A73-stepfuns-step-35-flash-good-performance-at-great-tokens-sec-throughput	https://huggingface.co/stepfun-ai/Step-3.5-Flash/blob/main/config.json	https://arxiv.org/pdf/2602.10604	Total score  38.5      General  38.5    Scientific  32.5    Coding  34.6    Agents  48.2			
Nanbeige 4.1 (3B)	Small on-device oriented model that stays close to Llama 3.2 while nudging the scaling choices.	3B parameters	262,144	Apache License 2.0	2026-02-10	Dense	GQA	32 GQA	64 KiB · Low	Llama-like stack without tying input embeddings to the output layer.	https://magazine.sebastianraschka.com/p/a-dream-of-spring-for-open-weight#%C2%A77-nanbeige-41-3b-a-strong-llama-3-successor	https://huggingface.co/Nanbeige/Nanbeige4.1-3B/blob/main/config.json	https://arxiv.org/pdf/2602.13367	Total score  16.1      General  22.0    Scientific  26.2    Coding  8.9    Agents  7.2			
GLM-5 (744B)	Huge GLM refresh that adopts both MLA and DeepSeek Sparse Attention for flagship-scale inference.	744B total, 40B active (5.4% active)	202,752	MIT License	2026-02-11	Sparse MoE	MLA with DeepSeek Sparse Attention	78 MLA	87.8 KiB · Moderate	Bigger than GLM-4.7, with more experts, fewer layers, and DeepSeek-style MTP.	https://magazine.sebastianraschka.com/p/the-big-llm-architecture-comparison#%C2%A721-glm-5	https://huggingface.co/zai-org/GLM-5/blob/main/config.json	https://arxiv.org/pdf/2602.15763	Total score  40.6      General  42.8    Scientific  20.2    Coding  39.0    Agents  60.3			
